reference_id,title,journal,publication_date,volume,issue,pages,doi,pmid,url,notes,created_at,updated_at
RE00440,Successful Intra-arterial Peptide Receptor Radionuclide Therapy of DOTATOC-Negative High-Grade Liver Metastases of a Pancreatic Neuroendocrine Neoplasm Using 177Lu-DOTA-LM3: A Somatostatin Receptor Antagonist,Clinical nuclear medicine,2020-03-01,45,3,e165-e168, 10.1097/RLU.0000000000002906,31977464,https://doi.org/10.1097/RLU.0000000000002906,,,
RE00441,Favorable SSTR subtype selectivity of SiTATE: new momentum for clinical [18F]SiTATE PET,EJNMMI radiopharmacy and chemistry,2022-09-05,7,1,22,10.1186/s41181-022-00176-x,36064987,https://doi.org/10.1186/s41181-022-00176-x,,,
RE00442,PET/CT imaging of differentiated and medullary thyroid carcinoma using the novel SSTR-targeting peptide [18F]SiTATE - first clinical experiences,European journal of nuclear medicine and molecular imaging,2024-10-15,52,3,900-912,10.1007/s00259-024-06944-y,39404789,https://doi.org/10.1007/s00259-024-06944-y,,,
RE00443,Amide-to-Triazole Switch in Somatostatin-14-Based Radioligands: Impact on Receptor Affinity and In Vivo Stability,Pharmaceutics,2024-03-13,16,3,392,10.3390/pharmaceutics16030392,38543286,https://doi.org/10.3390/pharmaceutics16030392,,,
RE00444,RYZ101 (Ac-225 DOTATATE) Opportunity beyond Gastroenteropancreatic Neuroendocrine Tumors: Preclinical Efficacy in Small-Cell Lung Cancer,Molecular cancer therapeutics,2023-12-01,22,12,1434-1443,10.1158/1535-7163.MCT-23-0029,37616528,https://doi.org/10.1158/1535-7163.MCT-23-0029,,,
RE00445,[212Pb]Pb-eSOMA-01: A Promising Radioligand for Targeted Alpha Therapy of Neuroendocrine Tumors,"Pharmaceuticals (Basel, Switzerland)",2023-07-10,16,7,985,10.3390/ph16070985,37513897,https://doi.org/10.3390/ph16070985,,,
RE00446,"First preclinical evaluation of [225Ac]Ac-DOTA-JR11 and comparison with [177Lu]Lu-DOTA-JR11, alpha versus beta radionuclide therapy of NETs",EJNMMI radiopharmacy and chemistry,2023-06-30,8,1,13,10.1186/s41181-023-00197-0,37389800,https://doi.org/10.1186/s41181-023-00197-0,,,
RE00447,Imaging Somatostatin Positive Tumors with Tyr3-Octreotate/Octreotide Conjugated to Desferrioxamine B Squaramide Radiolabeled with either Zirconium-89 or Gallium-68,Bioconjugate chemistry,2021-03-31,32,7,1192-1203,10.1021/acs.bioconjchem.1c00109,33788556,https://doi.org/10.1021/acs.bioconjchem.1c00109,,,
RE00448,Synthesis and preclinical evaluation of [18F]AlF-NOTA-Asp2-PEG2-JR11 as a novel antagonist radioligand for PET imaging of somatostatin receptor,European journal of nuclear medicine and molecular imaging,2024-11-13,52,3,1189-1199, 10.1007/s00259-024-06978-2,39532749,https://doi.org/10.1007/s00259-024-06978-2,,,
RE00449,Evaluation of Pan-SSTRs Targeted Radioligand [64Cu]NOTA-PA1 Using Micro-PET Imaging in Xenografted Mice,ACS medicinal chemistry letters,2020-04-09,11,4,445-450,10.1021/acsmedchemlett.9b00544,32292548,https://doi.org/10.1021/acsmedchemlett.9b00544,,,
RE00450,"Safety, Pharmacokinetics, and Dosimetry of a Long-Acting Radiolabeled Somatostatin Analog 177Lu-DOTA-EB-TATE in Patients with Advanced Metastatic Neuroendocrine Tumors","Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2018-04-13,59,11,1699-1705, 10.2967/jnumed.118.209841,29653971,https://doi.org/10.2967/jnumed.118.209841,,,
RE00451,18F-labeled somatostatin analogs for somatostatin receptors (SSTRs) targeted PET imaging of neuroendocrine tumors (NETs),European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2023-12-16,193,,106671,10.1016/j.ejps.2023.106671,38104907,https://doi.org/10.1016/j.ejps.2023.106671,,,
RE00452,Preclinical investigation of [149Tb]Tb-DOTATATE and [149Tb]Tb-DOTA-LM3 for tumor-targeted alpha therapy,European journal of nuclear medicine and molecular imaging,2025-01-02,52,4,1383-1398,10.1007/s00259-024-07035-8,39743617,https://doi.org/10.1007/s00259-024-07035-8,,,
RE00453,"Design, Preclinical Evaluation, and Clinical Translation of 68Ga-FAPI-LM3, a Heterobivalent Molecule for PET Imaging of Nasopharyngeal Carcinoma","Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2024-03-01,65,3,394-401,10.2967/jnumed.123.266183,38176714,https://doi.org/10.2967/jnumed.123.266183,,,
RE00454,Detection and therapy of neuroblastoma minimal residual disease using [64/67Cu]Cu-SARTATE in a preclinical model of hepatic metastases,EJNMMI research,2021-02-25,11,1,20,10.1186/s13550-021-00763-0,33630166,https://doi.org/10.1186/s13550-021-00763-0,,,
RE00455,[89Zr]Zr-DFO-TOC: a novel radiopharmaceutical for PET imaging of somatostatin receptor positive neuroendocrine tumors,EJNMMI radiopharmacy and chemistry,2024-12-18,9,1,88,10.1186/s41181-024-00320-9,39693037,https://doi.org/10.1186/s41181-024-00320-9,,,
RE00456,PET imaging of 52Mn labeled DOTATATE and DOTAJR11,Scientific reports,2025-01-18,15,1,2395,10.1038/s41598-025-85143-7,39827143,https://doi.org/10.1038/s41598-025-85143-7,,,
RE00457,Somatostatin Receptor Subtype-2 Targeting System for Specific Delivery of Temozolomide,Journal of medicinal chemistry,2024-02-12,67,4,2425-2437,10.1021/acs.jmedchem.3c00223,38346097,https://doi.org/10.1021/acs.jmedchem.3c00223,,,
RE00458,"First-in-human study of an optimized, potential kit-type, SSTR antagonist 68Ga-DATA5m-LM4 in patients with metastatic neuroendocrine tumors",Theranostics,2025-01-20,15,6,2510-2522,10.7150/thno.94521,39990220,https://doi.org/10.7150/thno.94521,,,
RE00459,Efficacy of [67Cu]Cu-EB-TATE Theranostic Against Somatostatin Receptor Subtype-2-Positive Neuroendocrine Tumors,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2024-04-01,65,4,533-539,10.2967/jnumed.123.265997,38485273,https://doi.org/10.2967/jnumed.123.265997,,,
RE00460,Histologic Ex Vivo Validation of the [18F]SITATE Somatostatin Receptor PET Tracer,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2025-08-01,66,8,1204-1209,10.2967/jnumed.125.269619,40404394,https://doi.org/10.2967/jnumed.125.269619,,,
RE00461,68Ga-SSO-120 PET for Initial Staging of Small Cell Lung Cancer Patients: A Single-Center Retrospective Study,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2023-07-20,64,10,1540-1549,10.2967/jnumed.123.265664,37474272,https://doi.org/10.2967/jnumed.123.265664,,,
RE00462,"Direct labeling of a somatostatin receptor antagonist via peptide cyclization with Re, 99mTc and 186Re metal centers: Radiochemistry and in vitro evaluation",Nuclear medicine and biology,2021-01-15,94-95,,46-52,10.1016/j.nucmedbio.2020.12.007,33515899,https://doi.org/10.1016/j.nucmedbio.2020.12.007,,,
RE00463,Comparison of the tolerability of 161Tb- and 177Lu-labeled somatostatin analogues in the preclinical setting,European journal of nuclear medicine and molecular imaging,2024-07-24,51,13,4049-4061,10.1007/s00259-024-06827-2,39046521,https://doi.org/10.1007/s00259-024-06827-2,,,
RE00464,Enhanced contrast in FAP‑targeting PET imaging with 61Cu‑labeled FAP inhibitors:development and preclinical evaluation of novel [ 61Cu]Cu‑Kalios PET radioligands,EJNMMI Radiopharmacy and Chemistry,2025-07-01,10,55,,10.1186/s41181-025-00381-4,40841501,https://doi.org/10.1186/s41181-025-00381-4,,,
RE00465,FAP Radioligand Linker Optimization Improves Tumor Dose and Tumor-to-Healthy Organ Ratios in 4T1 Syngeneic Model,Journal of Medicinal Chemistry,2024-06-18,67,,11827−118,10.1021/acs.jmedchem.4c00448,39013156,https://doi.org/10.1021/acs.jmedchem.4c00448,,,
RE00466,In vitro and in vivo analyses of eFAP: a novel FAP-targeting small molecule for radionuclide theranostics and other oncological interventions,EJNMMI Radiopharmacy and Chemistry,2024-07-29,9,55,1月17日,10.1186/s41181-024-00283-x,39073475,https://doi.org/10.1186/s41181-024-00283-x,,,
RE00467,Development of Cysteic Acid-Modified FAP Radioligands for Enhanced Renal Clearance: From Preclinical Optimization to First-in-,Journal of Medicinal Chemistry,2025-06-13,,68,14019−14027,10.1021/acs.jmedchem.5c01163,40528580,https://doi.org/10.1021/acs.jmedchem.5c01163,,,
RE00468,Modification of Asp−Peptide Adapters: Giving the FAP-Targeted Radioligand a “Squirrel Tail”,Journal of Medicinal Chemistry,2025-03-11,,68,6578-6587,10.1021/acs.jmedchem.4c03133,40102034,https://doi.org/10.1021/acs.jmedchem.4c03133,,,
RE00469,A Novel PSMA/FAP-Specific Radiotracer 99mTc-HFaPSMA for Diagnosis of PSMA-Negative Prostate Cancer: From Preclinical Validation to Clinical Translation,Journal of Medicinal Chemistry,2025-08-04,,68,17598−17610,10.1021/acs.jmedchem.5c01294,40782071,https://doi.org/10.1021/acs.jmedchem.5c01294,,,
RE00470,Formulation and Preclinical Testing of Tc-99m-Labeled HYNIC-Glc-FAPT as a FAP-Targeting Tumor Radiotracer,bioconjugate chemistry,2023-10-11,,34,2133−2143,10.1021/acs.bioconjchem.3c00442,37874952,https://doi.org/10.1021/acs.bioconjchem.3c00442,,,
RE00471,"Head‑to‑head comparison of different classes of FAP radioligands designed to increase tumor residence time: monomer, dimer, albumin binders, and small molecules vs peptides",European Journal of Nuclear Medicine and Molecular Imaging,2023-05-18,,50,3050–3061,10.1007/s00259-023-06272-7,37261473,https://doi.org/10.1007/s00259-023-06272-7,,,
RE00472,"Design, Synthesis, and Biological Evaluation of a Novel [18F]AlF-H3RESCA-FAPI Radiotracer Targeting Fibroblast Activation Protein",pharmaceuticals,2025-02-14,18,277,,10.3390/ph18020277,40006089,https://doi.org/10.3390/ph18020277,,,
RE00473,Preclinical Evaluation of 68Ga/177Lu-Labeled FAP-Targeted Peptide for Tumor Radiopharmaceutical Imaging and Therapy,THE JOURNAL OF NUCLEAR MEDICINE,2024-12-09,66,,250-256,10.2967/jnumed.124.268689,39848766,https://doi.org/10.2967/jnumed.124.268689,,,
RE00474,Preclinical Evaluation of 68Ga/177Lu-Labeled FAP-Targeted Peptide for Tumor Radiopharmaceutical Imaging and Therapy,THE JOURNAL OF NUCLEAR MEDICINE,2024-12-09,66,,250-256,10.2967/jnumed.124.268689,39848766,https://doi.org/10.2967/jnumed.124.268689,,,
RE00475,Covalent targeted radioligands potentiate radionuclide therapy,Nature,2024-04-24,630,,206-213,10.1186/s13550-025-01230-w,40307510,https://doi.org/10.1186/s13550-025-01230-w,,,
RE00476,An antibody‑radionuclide conjugate targets fibroblast activation protein for cancer therapy,European Journal of Nuclear Medicine and Molecular Imaging,2023-06-05,50,,3214–3224,10.1007/s00259-023-06300-6,37318538,https://doi.org/10.1007/s00259-023-06300-6,,,
RE00477,"Design, Structure Optimization, and Preclinical Evaluation of 188Re-Labeled FAPI for Targeted Radionuclide Therapy",Journal of Medicinal Chemistry,2025-06-09,68,,12940−12949,10.1021/acs.jmedchem.5c00837,40524336,https://doi.org/10.1021/acs.jmedchem.5c00837,,,
RE00478,Development and Application of Radioactive Ligands Targeting Fibroblasts with Albumin-Binding Sites,MOLECULAR CANCER THERAPEUTICS,2025-08-01,24,,1186–96,10.1158/1535-7163.MCT-24-1108,40177850,https://doi.org/10.1158/1535-7163.MCT-24-1108,,,
RE00479,"Comparative Study of Dimeric Fibroblast Activation Protein-Targeting Radioligands Labeled with Fluorine-18, Copper-64, and Gallium-68",Mol. Pharmaceutics,2025-02-03,22,,906−917,10.1021/acs.molpharmaceut.4c01080,39736080,https://doi.org/10.1021/acs.molpharmaceut.4c01080,,,
RE00480,Technetium-99m-Labeled Fibroblast Activation Protein-Targeted Nanobody Radiotracer: from Preclinical Development to Clinical Translation in Cancer Imaging,ACS Pharmacol. Transl. Sci,2025-07-16,8,,2673−2682,10.1021/acsptsci.5c00256,40810148,https://doi.org/10.1021/acsptsci.5c00256,,,
RE00481,Development of an FAP-Targeted PET Probe Based on a Novel Quinolinium Molecular Scaffold,Bioconjug Chem,2024-09-18,35,9,1309-1317,10.1021/acs.bioconjchem.4c00214,38954733,https://doi.org/10.1021/acs.bioconjchem.4c00214,,,
RE00482,A radiohybrid theranostics ligand labeled with fluorine?18 and lutetium?177 for fibroblast activation protein?targeted imaging and radionuclide therapy,Eur J Nucl Med Mol Imaging,2023-07-01,50,8,2331-2341,10.1007/s00259-023-06169-5,36864362,https://doi.org/10.1007/s00259-023-06169-5,,,
RE00483,"Preclinical Evaluation of 177Lu-OncoFAP-23, a Multivalent FAP-Targeted Radiopharmaceutical Therapeutic for Solid Tumors",J Nucl Med,2024-10-01,65,10,1604-1610,10.2967/jnumed.124.268200,39266289,https://doi.org/10.2967/jnumed.124.268200,,,
RE00484,Novel Generation of FAP Inhibitor-Based Homodimers for Improved Application in Radiotheranostics,Cancers (Basel),2023-03-21,15,6,1889,10.3390/cancers15061889,36980775,https://doi.org/10.3390/cancers15061889,,,
RE00485,Preclinical evaluation of [68Ga]Ga-AAZTA-FAPI-46: a novel PET tracer for targeting fibroblast activation protein (FAP),EJNMMI Radiopharm Chem,2025-08-05,10,1,51,10.1186/s41181-025-00375-2,40762892,https://doi.org/10.1186/s41181-025-00375-2,,,
RE00486,Theranostic Potential of [68Ga]Ga/[177Lu]Lu-LNC1013: A Dual-Purpose Ligand for Cancer Imaging and Radionuclide Therapy,ACS Appl Mater Interfaces,2025-08-27,17,34,47869-47877,10.1021/acsami.5c07340,40693443,https://doi.org/10.1021/acsami.5c07340,,,
RE00487,Rational modifications on N-(4-quinolinoyl)-Gly-2-cyanopyrrolidine to develop fibroblast activation protein-targeted radioligands with improved affinity and tumor uptake,Eur J Med Chem,2025-01-05,281,,117011,10.1016/j.ejmech.2024.117011,39488967,https://doi.org/10.1016/j.ejmech.2024.117011,,,
RE00488,Comparative evaluation of three 18F-fluorinated FAP ligands in rodent tumor models,Eur J Med Chem,2025-12-05,299,,118103,10.1016/j.ejmech.2025.118103,40886680,https://doi.org/10.1016/j.ejmech.2025.118103,,,
RE00489,Antitumor efficacy and potential mechanism of FAP-targeted radioligand therapy combined with immune checkpoint blockade,Signal Transduct Target Ther,2024-06-03,9,1,142,10.1038/s41392-024-01853-w,38825657,https://doi.org/10.1038/s41392-024-01853-w,,,
RE00490,Preclinical Characterization of Novel FAP-2286-Based Radioligand with Albumin Binder for Improved Tumor Retention,ACS Med Chem Lett,2025-03-24,16,4,596-601,10.1021/acsmedchemlett.4c00630,40236533,https://doi.org/10.1021/acsmedchemlett.4c00630,,,
RE00492,Synthesis and Preclinical Evaluation of Two Novel 68Ga-Labeled Bispecific PSMA/FAP-Targeted Tracers with 2-Nal-Containing PSMA-Targeted Pharmacophore and Pyridine-Based FAP-Targeted Pharmacophore,Molecules,2024-02-09,29,4,800,10.3390/molecules29040800,38398552,https://doi.org/10.3390/molecules29040800,,,
RE00493,Tumor-Targeted Interleukin 2 Boosts the Anticancer Activity of FAP-Directed Radioligand Therapeutics,J Nucl Med,2023-12-01,64,12,1934-1940,10.2967/jnumed.123.266007,37734838,https://doi.org/10.2967/jnumed.123.266007,,,
RE00494,Preclinical evaluation of [13xLa]La-FAP-2286 as a novel theranostic agent for tumors expressing fibroblast activation protein,Sci Rep,2025-03-03,15,1,7475,10.1038/s41598-025-91716-3,40032959,https://doi.org/10.1038/s41598-025-91716-3,,,
RE00495,High Affinity and FAP-Targeted Radiotracers: A Potential Design Strategy to Improve the Pharmacokinetics and Tumor Uptake for FAP Inhibitors,J Med Chem,2023-07-13,66,13,8614-8627,10.1021/acs.jmedchem.3c00259,37390480,https://doi.org/10.1021/acs.jmedchem.3c00259,,,
RE00496,Effect of molar dose on the in vivo tissue biodistribution profile of FAP?targeted radioligand therapeutics,Eur J Nucl Med Mol Imaging,2025-03-01,52,4,1399-1405,10.1007/s00259-024-06969-3,39528843,https://doi.org/10.1007/s00259-024-06969-3,,,
RE00497,"Preclinical Development of PNT6555, a Boronic Acid-Based, Fibroblast Activation Protein-α (FAP)-Targeted Radiotheranostic for Imaging and Treatment of FAP-Positive Tumors",J Nucl Med,2024-01-02,65,1,100-108,10.2967/jnumed.123.266345,38050111,https://doi.org/10.2967/jnumed.123.266345,,,
RE00498,Development of [68Ga]Ga/[177Lu]Lu-DOTA-NI-FAPI-04 Containing a Nitroimidazole Moiety as New FAPI Radiotracers with Improved Tumor Uptake and Retention,J Med Chem,2025-01-09,68,1,348-360,10.1021/acs.jmedchem.4c02015,39710979,https://doi.org/10.1021/acs.jmedchem.4c02015,,,
