drug_id,reference_id,note,created_at,updated_at
RDC00445,RE00290,,,
RDC00447,RE00291,,,
RDC00448,RE00292,,,
RDC00449,RE00292,,,
RDC00116,RE00293,,,
RDC00451,RE00294,,,
RDC00370,RE00295,,,
RDC00445,RE00296,,,
RDC00453,RE00296,,,
RDC00455,RE00297,,,
RDC00448,RE00297,,,
RDC00458,RE00298,,,
RDC00456,RE00298,,,
RDC00457,RE00298,,,
RDC00461,RE00299,,,
RDC00462,RE00300,,,
RDC00467,RE00301,,,
RDC00469,RE00302,,,
RDC00468,RE00302,,,
RDC00480,RE00303,,,
RDC00483,RE00304,,,
RDC00487,RE00305,,,
RDC00486,RE00305,,,
RDC00488,RE00306,,,
RDC00489,RE00307,,,
RDC00490,RE00308,,,
RDC00494,RE00309,,,
RDC00495,RE00310,,,
RDC00497,RE00310,,,
RDC00500,RE00311,,,
RDC00451,RE00311,,,
RDC00116,RE00312,,,
RDC00501,RE00312,,,
RDC00327,RE00313,,,
RDC00504,RE00314,,,
RDC00510,RE00315,,,
RDC00511,RE00316,,,
RDC00512,RE00317,,,
RDC00513,RE00318,,,
RDC00514,RE00318,,,
RDC00515,RE00319,,,
RDC00516,RE00319,,,
RDC00517,RE00320,,,
RDC00513,RE00321,,,
RDC00518,RE00322,,,
RDC00519,RE00322,,,
RDC00520,RE00323,,,
RDC00514,RE00324,,,
RDC00521,RE00324,,,
RDC00522,RE00325,,,
RDC00522,RE00326,,,
RDC00523,RE00327,,,
RDC00524,RE00328,,,
RDC00525,RE00328,,,
RDC00528,RE00329,,,
RDC00529,RE00330,,,
RDC00530,RE00331,,,
RDC00531,RE00332,,,
RDC00531,RE00333,,,
RDC00524,RE00334,,,
RDC00533,RE00335,,,
RDC00534,RE00336,,,
RDC00535,RE00337,,,
RDC00526,RE00338,,,
RDC00536,RE00339,,,
RDC00537,RE00340,,,
RDC00538,RE00341,,,
RDC00539,RE00341,,,
RDC00540,RE00342,,,
RDC00542,RE00343,,,
RDC00543,RE00344,,,
RDC00543,RE00345,,,
RDC00544,RE00346,,,
RDC00545,RE00347,,,
RDC00546,RE00348,,,
RDC00547,RE00349,,,
RDC00548,RE00350,,,
RDC00549,RE00351,,,
RDC00551,RE00352,,,
RDC00551,RE00353,,,
RDC00551,RE00354,,,
RDC00552,RE00355,,,
RDC00553,RE00356,,,
RDC00554,RE00357,,,
RDC00555,RE00358,,,
RDC00556,RE00359,,,
RDC00557,RE00360,,,
RDC00558,RE00361,,,
RDC00559,RE00362,,,
RDC00563,RE00363,,,
RDC00564,RE00364,,,
RDC00566,RE00365,,,
RDC00567,RE00365,,,
RDC00569,RE00366,,,
RDC00570,RE00367,,,
RDC00571,RE00367,,,
RDC00572,RE00368,,,
RDC00573,RE00369,,,
RDC00574,RE00370,,,
RDC00575,RE00371,,,
RDC00576,RE00372,,,
RDC00577,RE00373,,,
RDC00578,RE00374,,,
RDC00579,RE00375,,,
RDC00580,RE00376,,,
RDC00581,RE00377,,,
RDC00582,RE00378,,,
RDC00583,RE00379,,,
RDC00584,RE00380,,,
RDC00585,RE00381,,,
RDC00586,RE00382,,,
RDC00605,RE00383,,,
RDC00611,RE00384,,,
RDC00612,RE00384,,,
RDC00613,RE00385,,,
RDC00622,RE00386,,,
RDC00623,RE00387,,,
RDC00624,RE00387,,,
RDC00625,RE00387,,,
RDC00626,RE00388,,,
RDC00627,RE00388,,,
RDC00628,RE00389,,,
RDC00629,RE00390,,,
RDC00611,RE00390,,,
RDC00631,RE00390,,,
RDC00632,RE00390,,,
RDC00633,RE00390,,,
RDC00609,RE00391,,,
RDC00637,RE00392,,,
RDC00639,RE00393,,,
RDC00642,RE00394,,,
RDC00643,RE00394,,,
RDC00670,RE00395,,,
