drug_id,indication_id,evidence,created_at,updated_at
RDC00222,IN00006,,,
RDC00222,IN00042,,,
RDC00222,IN00056,,,
RDC00223,IN00006,,,
RDC00223,IN00042,,,
RDC00223,IN00056,,,
RDC00229,IN00006,,,
RDC00229,IN00042,,,
RDC00229,IN00056,,,
RDC00229,IN00037,,,
RDC00230,IN00006,,,
RDC00230,IN00042,,,
RDC00230,IN00056,,,
RDC00231,IN00038,,,
RDC00232,IN00038,,,
RDC00233,IN00038,,,
RDC00234,IN00038,,,
RDC00235,IN00038,,,
RDC00236,IN00102,,,
RDC00236,IN00065,,,
RDC00237,IN00102,,,
RDC00237,IN00065,,,
RDC00238,IN00009,,,
RDC00239,IN00009,,,
RDC00240,IN00038,,,
RDC00241,IN00007,,,
RDC00241,IN00006,,,
RDC00241,IN00030,,,
RDC00241,IN00005,,,
RDC00241,IN00031,,,
RDC00241,IN00032,,,
RDC00242,IN00006,,,
RDC00244,IN00059,,,
RDC00244,IN00038,,,
RDC00245,IN00059,,,
RDC00245,IN00038,,,
RDC00247,IN00001,,,
RDC00248,IN00041,,,
RDC00249,IN00041,,,
RDC00250,IN00041,,,
RDC00251,IN00007,,,
RDC00252,IN00006,,,
RDC00253,IN00006,,,
RDC00254,IN00006,,,
RDC00255,IN00006,,,
RDC00256,IN00006,,,
RDC00260,IN00042,,,
RDC00261,IN00042,,,
RDC00263,IN00002,,,
RDC00264,IN00002,,,
RDC00265,IN00049,,,
RDC00266,IN00006,,,
RDC00274,IN00041,,,
RDC00277,IN00002,,,
RDC00277,IN00006,,,
RDC00285,IN00011,,,
RDC00286,IN00065,,,
RDC00288,IN00050,,,
RDC00290,IN00012,,,
RDC00327,IN00024,,,
RDC00327,IN00007,,,
RDC00327,IN00037,,,
RDC00327,IN00009,,,
RDC00328,IN00007,,,
RDC00328,IN00026,,,
RDC00328,IN00060,,,
RDC00328,IN00047,,,
RDC00329,IN00056,,,
RDC00329,IN00047,,,
RDC00329,IN00024,,,
RDC00329,IN00009,,,
RDC00330,IN00047,,,
RDC00330,IN00056,,,
RDC00330,IN00024,,,
RDC00330,IN00009,,,
RDC00336,IN00057,,,
RDC00336,IN00056,,,
RDC00336,IN00009,,,
RDC00337,IN00041,,,
RDC00337,IN00009,,,
RDC00337,IN00027,,,
RDC00337,IN00007,,,
RDC00338,IN00024,,,
RDC00338,IN00056,,,
RDC00338,IN00047,,,
RDC00338,IN00009,,,
RDC00341,IN00025,,,
RDC00341,IN00051,,,
RDC00341,IN00041,,,
RDC00341,IN00009,,,
RDC00341,IN00027,,,
RDC00342,IN00009,,,
RDC00342,IN00056,,,
RDC00342,IN00027,,,
RDC00343,IN00009,,,
RDC00343,IN00041,,,
RDC00343,IN00056,,,
RDC00348,IN00024,,,
RDC00348,IN00056,,,
RDC00349,IN00025,,,
RDC00349,IN00027,,,
RDC00350,IN00007,,,
RDC00350,IN00024,,,
RDC00350,IN00057,,,
RDC00351,IN00056,,,
RDC00351,IN00047,,,
RDC00351,IN00037,,,
RDC00351,IN00024,,,
RDC00351,IN00009,,,
RDC00353,IN00011,,,
RDC00353,IN00041,,,
RDC00353,IN00007,,,
RDC00353,IN00006,,,
RDC00357,IN00006,,,
RDC00358,IN00007,,,
RDC00358,IN00057,,,
RDC00358,IN00042,,,
RDC00358,IN00006,,,
RDC00359,IN00007,,,
RDC00359,IN00057,,,
RDC00359,IN00042,,,
RDC00359,IN00006,,,
RDC00369,IN00061,,,
RDC00369,IN00007,,,
RDC00371,IN00061,,,
RDC00371,IN00007,,,
RDC00372,IN00032,,,
RDC00374,IN00007,,,
RDC00376,IN00011,,,
RDC00376,IN00062,,,
RDC00376,IN00063,,,
RDC00376,IN00050,,,
RDC00377,IN00011,,,
RDC00377,IN00062,,,
RDC00377,IN00063,,,
RDC00377,IN00050,,,
RDC00378,IN00061,,,
RDC00378,IN00007,,,
RDC00379,IN00061,,,
RDC00379,IN00007,,,
RDC00380,IN00061,,,
RDC00380,IN00007,,,
RDC00381,IN00061,,,
RDC00381,IN00007,,,
RDC00382,IN00061,,,
RDC00382,IN00007,,,
RDC00383,IN00061,,,
RDC00383,IN00007,,,
RDC00384,IN00061,,,
RDC00384,IN00007,,,
RDC00385,IN00011,,,
RDC00386,IN00007,,,
RDC00387,IN00061,,,
RDC00387,IN00007,,,
RDC00389,IN00012,,,
RDC00390,IN00012,,,
RDC00391,IN00061,,,
RDC00391,IN00007,,,
RDC00392,IN00061,,,
RDC00392,IN00007,,,
RDC00394,IN00042,,,
RDC00394,IN00012,,,
RDC00397,IN00042,,,
RDC00397,IN00012,,,
RDC00398,IN00061,,,
RDC00398,IN00007,,,
RDC00399,IN00061,,,
RDC00399,IN00007,,,
RDC00402,IN00061,,,
RDC00402,IN00007,,,
RDC00403,IN00061,,,
RDC00403,IN00007,,,
RDC00406,IN00061,,,
RDC00406,IN00007,,,
RDC00407,IN00002,,,
RDC00407,IN00009,,,
RDC00408,IN00002,,,
RDC00408,IN00009,,,
RDC00409,IN00002,,,
RDC00409,IN00009,,,
RDC00410,IN00002,,,
RDC00410,IN00009,,,
RDC00411,IN00061,,,
RDC00412,IN00061,,,
RDC00413,IN00061,,,
RDC00416,IN00009,,,
RDC00417,IN00009,,,
RDC00419,IN00064,,,
RDC00423,IN00006,,,
RDC00423,IN00042,,,
RDC00423,IN00056,,,
RDC00424,IN00006,,,
RDC00424,IN00042,,,
RDC00424,IN00056,,,
RDC00425,IN00006,,,
RDC00425,IN00042,,,
RDC00425,IN00056,,,
RDC00426,IN00042,,,
RDC00427,IN00006,,,
RDC00427,IN00042,,,
RDC00427,IN00056,,,
RDC00431,IN00006,,,
RDC00431,IN00042,,,
RDC00431,IN00056,,,
RDC00435,IN00006,,,
RDC00435,IN00042,,,
RDC00435,IN00056,,,
RDC00437,IN00042,,,
RDC00438,IN00102,,,
RDC00439,IN00102,,,
RDC00440,IN00042,,,
RDC00443,IN00005,,,
RDC00444,IN00007,,,
RDC00445,IN00024,,,
RDC00447,IN00023,,,
RDC00448,IN00006,,,
RDC00448,IN00042,,,
RDC00448,IN00056,,,
RDC00449,IN00006,,,
RDC00449,IN00042,,,
RDC00449,IN00056,,,
RDC00451,IN00006,,,
RDC00451,IN00042,,,
RDC00451,IN00056,,,
RDC00453,IN00057,,,
RDC00456,IN00006,,,
RDC00456,IN00042,,,
RDC00456,IN00056,,,
RDC00457,IN00006,,,
RDC00457,IN00042,,,
RDC00457,IN00056,,,
RDC00461,IN00006,,,
RDC00461,IN00042,,,
RDC00461,IN00056,,,
RDC00462,IN00042,,,
RDC00462,IN00056,,,
RDC00462,IN00057,,,
RDC00462,IN00007,,,
RDC00462,IN00006,,,
RDC00462,IN00041,,,
RDC00467,IN00007,,,
RDC00469,IN00006,,,
RDC00469,IN00042,,,
RDC00469,IN00056,,,
RDC00468,IN00006,,,
RDC00468,IN00042,,,
RDC00468,IN00056,,,
RDC00479,IN00006,,,
RDC00479,IN00042,,,
RDC00479,IN00056,,,
RDC00480,IN00006,,,
RDC00480,IN00042,,,
RDC00480,IN00056,,,
RDC00483,IN00024,,,
RDC00486,IN00006,,,
RDC00486,IN00042,,,
RDC00486,IN00056,,,
RDC00487,IN00006,,,
RDC00487,IN00042,,,
RDC00487,IN00056,,,
RDC00488,IN00042,,,
RDC00488,IN00024,,,
RDC00489,IN00007,,,
RDC00494,IN00007,,,
RDC00495,IN00006,,,
RDC00495,IN00042,,,
RDC00495,IN00056,,,
RDC00495,IN00012,,,
RDC00497,IN00006,,,
RDC00497,IN00042,,,
RDC00497,IN00056,,,
RDC00497,IN00012,,,
RDC00500,IN00006,,,
RDC00500,IN00042,,,
RDC00500,IN00056,,,
RDC00501,IN00042,,,
RDC00504,IN00006,,,
RDC00504,IN00007,,,
RDC00504,IN00041,,,
RDC00515,IN00009,,,
RDC00516,IN00009,,,
RDC00517,IN00009,,,
RDC00518,IN00071,,,
RDC00519,IN00071,,,
RDC00520,IN00001,,,
RDC00521,IN00003,,,
RDC00522,IN00072,,,
RDC00523,IN00003,,,
RDC00524,IN00011,,,
RDC00525,IN00011,,,
RDC00528,IN00011,,,
RDC00529,IN00011,,,
RDC00530,IN00102,,,
RDC00530,IN00006,,,
RDC00530,IN00042,,,
RDC00530,IN00056,,,
RDC00530,IN00011,,,
RDC00531,IN00038,,,
RDC00531,IN00005,,,
RDC00533,IN00011,,,
RDC00534,IN00011,,,
RDC00535,IN00011,,,
RDC00536,IN00011,,,
RDC00537,IN00011,,,
RDC00538,IN00011,,,
RDC00539,IN00011,,,
RDC00540,IN00024,,,
RDC00542,IN00056,,,
RDC00543,IN00073,,,
RDC00543,IN00003,,,
RDC00544,IN00011,,,
RDC00545,IN00011,,,
RDC00546,IN00003,,,
RDC00547,IN00038,,,
RDC00548,IN00038,,,
RDC00549,IN00024,,,
RDC00551,IN00009,,,
RDC00552,IN00024,,,
RDC00553,IN00024,,,
RDC00554,IN00072,,,
RDC00555,IN00037,,,
RDC00556,IN00037,,,
RDC00557,IN00037,,,
RDC00558,IN00056,,,
RDC00563,IN00065,,,
RDC00564,IN00065,,,
RDC00566,IN00007,,,
RDC00566,IN00057,,,
RDC00566,IN00011,,,
RDC00566,IN00039,,,
RDC00566,IN00065,,,
RDC00567,IN00007,,,
RDC00567,IN00057,,,
RDC00567,IN00011,,,
RDC00567,IN00039,,,
RDC00567,IN00065,,,
RDC00569,IN00007,,,
RDC00569,IN00057,,,
RDC00569,IN00011,,,
RDC00569,IN00039,,,
RDC00569,IN00065,,,
RDC00570,IN00056,,,
RDC00571,IN00056,,,
RDC00572,IN00041,,,
RDC00573,IN00006,,,
RDC00574,IN00006,,,
RDC00574,IN00042,,,
RDC00574,IN00056,,,
RDC00575,IN00007,,,
RDC00576,IN00007,,,
RDC00576,IN00024,,,
RDC00576,IN00027,,,
RDC00576,IN00057,,,
RDC00576,IN00038,,,
RDC00577,IN00007,,,
RDC00577,IN00024,,,
RDC00577,IN00027,,,
RDC00577,IN00057,,,
RDC00577,IN00038,,,
RDC00578,IN00007,,,
RDC00578,IN00024,,,
RDC00578,IN00027,,,
RDC00578,IN00057,,,
RDC00578,IN00038,,,
RDC00579,IN00041,,,
RDC00580,IN00006,,,
RDC00581,IN00006,,,
RDC00582,IN00037,,,
RDC00583,IN00065,,,
RDC00584,IN00005,,,
RDC00585,IN00037,,,
RDC00586,IN00037,,,
RDC00605,IN00025,,,
RDC00605,IN00034,,,
RDC00608,IN00025,,,
RDC00610,IN00025,,,
RDC00611,IN00025,,,
RDC00612,IN00025,,,
RDC00613,IN00025,,,
RDC00618,IN00025,,,
RDC00622,IN00025,,,
RDC00623,IN00025,,,
RDC00624,IN00025,,,
RDC00624,IN00034,,,
RDC00625,IN00025,,,
RDC00626,IN00025,,,
RDC00627,IN00025,,,
RDC00628,IN00025,,,
RDC00629,IN00025,,,
RDC00631,IN00025,,,
RDC00631,IN00034,,,
RDC00632,IN00025,,,
RDC00633,IN00025,,,
RDC00637,IN00025,,,
RDC00637,IN00034,,,
RDC00639,IN00025,,,
RDC00641,IN00025,,,
RDC00642,IN00025,,,
RDC00643,IN00025,,,
RDC00646,IN00025,,,
RDC00650,IN00025,,,
RDC00652,IN00025,,,
RDC00652,IN00034,,,
RDC00653,IN00025,,,
RDC00653,IN00034,,,
RDC00654,IN00025,,,
RDC00655,IN00025,,,
RDC00656,IN00025,,,
RDC00657,IN00025,,,
RDC00658,IN00025,,,
RDC00659,IN00025,,,
RDC00661,IN00025,,,
RDC00662,IN00025,,,
RDC00663,IN00025,,,
RDC00666,IN00025,,,
RDC00667,IN00025,,,
RDC00669,IN00025,,,
RDC00670,IN00025,,,
RDC00671,IN00025,,,
RDC00672,IN00025,,,
RDC00672,IN00034,,,
RDC00673,IN00025,,,
RDC00674,IN00025,,,
RDC00676,IN00025,,,
RDC00679,IN00025,,,
RDC00680,IN00025,,,
RDC00681,IN00025,,,
RDC00682,IN00025,,,
RDC00683,IN00025,,,
RDC00684,IN00025,,,
RDC00685,IN00025,,,
RDC00686,IN00025,,,
RDC00687,IN00025,,,
RDC00689,IN00025,,,
RDC00691,IN00025,,,
RDC00692,IN00025,,,
RDC00696,IN00025,,,
RDC00698,IN00025,,,
RDC00699,IN00025,,,
RDC00700,IN00025,,,
RDC00701,IN00025,,,
RDC00702,IN00025,,,
RDC00703,IN00025,,,
RDC00704,IN00025,,,
RDC00705,IN00025,,,
RDC00706,IN00025,,,
RDC00707,IN00025,,,
RDC00708,IN00025,,,
RDC00709,IN00025,,,
RDC00710,IN00025,,,
RDC00711,IN00025,,,
RDC00712,IN00025,,,
RDC00712,IN00034,,,
RDC00713,IN00025,,,
