affinity_id,chemical_entity_id,affinity_type,affinity_symbols,affinity_value,affinity_unit,description,source,created_at,updated_at
CHAF00358,CC00660,Ki,=,0.01,nM​,,,,
CHAF00359,CC01350,IC50,=,15.6,nM,Binding affinity to PSMA on PC3-PIP cells,,,
CHAF00360,CC01351,Ki,=,5.74±2.48,nM,Determined by in vitro competition binding assay using LNCaP cells and 18F-DCFPyL as radioligand.,,,
CHAF00361,CC01352,Ki,=,25.7±9.84,nM,Determined by in vitro competition binding assay using LNCaP cells and 18F-DCFPyL as radioligand.,,,
CHAF00362,CC01357,IC50,=,5.9,nM,Competitive binding assay  in LNCaP cells,,,
CHAF00363,CC01356,IC50,=,65,nM,Competitive binding assay  in LNCaP cells,,,
CHAF00364,CC01357,IC50,=,4.8,nM,Competitive binding assay  in LNCaP cells,,,
CHAF00365,CC01356,IC50,=,90,nM,Competitive binding assay  in LNCaP cells,,,
CHAF00366,CC01360,Ki,=,2.23,nM,Determined by NAALADase assay using LNCaP cell lysates,,,
CHAF00367,CC00673,Kd,=,0.51,µM,Surface Plasmon Resonance (SPR) binding assays,,,
CHAF00368,CC00677,KD,=,0.32,nM,Surface plasmon resonance (SPR),,,
CHAF00369,CC00677,KD,=,0.32,nM,Surface plasmon resonance (SPR),,,
CHAF00370,CC00680,IC50,=,104.7,nM,Competitive cell-binding assay in PC-3 cells,,,
CHAF00371,CC00682,Kd,=,0.35 ± 0.15,nM,Binding affinity between NYM036 and PSMA protein determined by in vitro assay in LNCaP cells.,,,
CHAF00372,CC00693,IC50,=,22.8±3.6,nM,Competitive binding assay on PC3 PIP cells,,,
CHAF00373,CC00694,IC50,=,62.0 ± 13.3,nM,Competitive binding assay on PC3 PIP cells,,,
CHAF00374,CC00708,IC50,=,1.66 ± 0.63,nM,NAALADase assay with recombinant human PSMA,,,
CHAF00375,CC00709,IC50,=,1.05 ± 0.30,nM,NAALADase assay with recombinant human PSMA,,,
CHAF00376,CC00710,IC50,=,10.77,nM,Competition binding assay in 22Rv1 tumor cells,,,
CHAF00377,LIG00657,KD,=,7.4,nM,ELISA assay,,,
CHAF00378,LIG00664,KD,=,10.5 ± 4.0 nM,nM,Binding affinity determined by flow cytometry and saturation binding assay,,,
CHAF00379,CC01375,KD,=,3.7,nM,Saturation binding assay on 22Rv1 cells,,,
CHAF00380,LIG00280,Kd,=,1.6 * 10^-8 M,M,Binding to HER2-positive SK-BR-3 cells,,,
CHAF00381,CC00756,Kd,=,7.2 * 10^-8,M,Binding to HER2-positive SK-BR-3 cells,,,
CHAF00382,CC01388,Kd,=,18,PM,High affinity to HER2 and albumin,,,
CHAF00383,CC00757,KD,=,0.2,nM,Subnanomolar affinity to HER2,,,
CHAF00384,LIG00283,KD,,80,pM,Biosensor analysis (Biacore),,,
CHAF00385,CC00758,KD,=,280,pM,Biosensor analysis (Biacore),,,
CHAF00386,CC00759,KD,=,250,pM,Biosensor analysis (Biacore),,,
CHAF00387,LIG00279,Kd,=,0.1–1,nM,High affinity to HER2/neu,,,
CHAF00388,CC01391,KD,=,3,nM,High affinity binding to HER2,,,
CHAF00389,CC001395,KD,=,63.4 ± 11.5,nM,,,,
CHAF00390,CC001396,KD,=,57.3 ± 15.4,nM,,,,
CHAF00391,LIG00280,KD,=,0.5,nM,Biolayer interferometry (BLI),,,
CHAF00392,CC00772,KD,=,20,nM,Biolayer interferometry (BLI),,,
CHAF00393,LIG00295,KD,=,280,pM,"In surfaceplasmon resonance (SPR), the interactionbetweenZHER2-HP15andHP16was characterizedbyahigh(KD=280pM)bindingaffinitywitha very slowdissociation rate (kd = 1.2×10−5 s−1)",,,
CHAF00394,LIG00295,Kd,=,1.2*10^−5,s^−1,,,,
CHAF00395,CC00785,KD,=,1.44E-10,M,SPR,,,
CHAF00396,CC00785,KD,=,2.99 * 10^-11,M,Kinetic parameters of the interaction between PEP40233 and HER2,,,
CHAF00397,CC00785,KD,=,5.20 * 10^-11,M,Kinetic parameters of the interaction between PEP40233 and HSA,,,
CHAF00398,CC00785,KD,=,1.44 * 10^-10,M,Kinetic parameters of the interaction between PEP40233 and MSA,,,
CHAF00399,CC00785,KD,=,5.30 * 10^-9,M,HER2 in the presence of 100 nM HSA,,,
CHAF00400,CC00785,KD,=,6.42 * 10^-9,M,HER2 in the presence of 100 nM MSA,,,
CHAF00401,LIG00302,KD,=,4.2,nM,,,,
CHAF00402,LIG00288,IC50,=,7.48±3.26,nM,Comparison of HER2 binding affinity between HYNIC-H6F and HER2 positive MDA-MB-453 cells through competitive binding assay with H6F,,,
CHAF00403,CC00794,IC50,=,11.25±2.14,nM,Comparison of HER2 binding affinity between HYNIC-H6F and HER2 positive MDA-MB-453 cells through competitive binding assay with H6F,,,
CHAF00404,CC01481,KD,=,65,pM,"The affinity was determined through in vitro binding assays using HER2-expressing cell lines, where the dissociation constant KD of 65 pM was calculated based on saturation binding and kinetic analysis.",,,
CHAF00405,LIG00697,KD,=,27,nM,Uses the high-affinity HER2 RNA aptamer (Kd = 27 nM) but exhibits poor tumor targeting due to unfavorable pharmacokinetics caused by the Tricine co-ligand.,,,
CHAF00406,LIG00283,KD,=,29,nM,,,,
CHAF00407,LIG00697,KD,=,56 ± 6.5,pM,"Affinity was determined by in vitro cell binding assays using HER2-expressing cell lines (e.g., SKOV-3), where receptor blocking with cold ligand confirmed picomolar-range specificity and affinity.",,,
CHAF00408,CC00802,KD,=,500,pM,"The binding affinity (KD) was determined by surface plasmon resonance (SPR) analysis using a Biacore 2000 instrument, with recombinant HER2 as the immobilized ligand.",,,
