drug_id,target_id,evidence,created_at,updated_at
RDC00516,TAR0015,,,
RDC00517,TAR0015,,,
RDC00518,TAR0015,,,
RDC00519,TAR0015,,,
RDC00520,TAR0015,,,
RDC00521,TAR0015,,,
RDC00522,TAR0015,,,
RDC00523,TAR0015,,,
RDC00524,TAR0015,,,
RDC00525,TAR0015,,,
RDC00528,TAR0015,,,
RDC00529,TAR0015,,,
RDC00530,TAR0015,,,
RDC00530,TAR0023,,,
RDC00531,TAR0015,,,
RDC00533,TAR0015,,,
RDC00534,TAR0015,,,
RDC00535,TAR0015,,,
RDC00536,TAR0015,,,
RDC00537,TAR0015,,,
RDC00538,TAR0015,,,
RDC00539,TAR0015,,,
RDC00540,TAR0015,,,
RDC00542,TAR0015,,,
RDC00543,TAR0015,,,
RDC00544,TAR0015,,,
RDC00545,TAR0015,,,
RDC00546,TAR0015,,,
RDC00547,TAR0015,,,
RDC00548,TAR0015,,,
RDC00549,TAR0015,,,
RDC00551,TAR0015,,,
RDC00552,TAR0015,,,
RDC00553,TAR0015,,,
RDC00554,TAR0015,,,
RDC00555,TAR0015,,,
RDC00556,TAR0015,,,
RDC00557,TAR0015,,,
RDC00558,TAR0015,,,
RDC00563,TAR0015,,,
RDC00564,TAR0023,,,
RDC00566,TAR0034,,,
RDC00567,TAR0034,,,
RDC00569,TAR0034,,,
RDC00570,TAR0040,,,
RDC00570,TAR0037,,,
RDC00570,TAR0041,,,
RDC00571,TAR0040,,,
RDC00571,TAR0037,,,
RDC00571,TAR0041,,,
RDC00572,TAR0039,,,
RDC00573,TAR0038,,,
RDC00574,TAR0040,,,
RDC00575,TAR0042,,,
RDC00576,TAR0043,,,
RDC00577,TAR0043,,,
RDC00578,TAR0043,,,
RDC00579,TAR0043,,,
RDC00580,TAR0044,,,
RDC00581,TAR0044,,,
RDC00582,TAR0044,,,
RDC00583,TAR0044,,,
RDC00584,TAR0044,,,
RDC00585,TAR0045,,,
RDC00586,TAR0023,,,
RDC00586,TAR0070,,,
RDC00605,TAR0002,,,
RDC00611,TAR0002,,,
RDC00612,TAR0002,,,
RDC00613,TAR0002,,,
RDC00618,TAR0002,,,
RDC00622,TAR0002,,,
RDC00623,TAR0002,,,
RDC00624,TAR0002,,,
RDC00625,TAR0002,,,
RDC00626,TAR0002,,,
RDC00627,TAR0002,,,
RDC00628,TAR0002,,,
RDC00629,TAR0002,,,
RDC00631,TAR0002,,,
RDC00632,TAR0002,,,
RDC00633,TAR0002,,,
RDC00637,TAR0002,,,
RDC00639,TAR0002,,,
RDC00641,TAR0002,,,
RDC00642,TAR0002,,,
RDC00643,TAR0002,,,
RDC00646,TAR0002,,,
RDC00650,TAR0002,,,
RDC00652,TAR0002,,,
RDC00653,TAR0002,,,
RDC00654,TAR0002,,,
RDC00655,TAR0002,,,
RDC00656,TAR0002,,,
RDC00657,TAR0002,,,
RDC00658,TAR0002,,,
RDC00659,TAR0002,,,
RDC00661,TAR0002,,,
RDC00662,TAR0002,,,
RDC00663,TAR0002,,,
RDC00666,TAR0002,,,
RDC00667,TAR0002,,,
RDC00669,TAR0002,,,
RDC00670,TAR0002,,,
RDC00671,TAR0002,,,
RDC00672,TAR0002,,,
RDC00673,TAR0002,,,
RDC00674,TAR0002,,,
RDC00676,TAR0002,,,
RDC00679,TAR0002,,,
RDC00680,TAR0002,,,
RDC00681,TAR0002,,,
RDC00682,TAR0002,,,
RDC00683,TAR0002,,,
RDC00684,TAR0002,,,
RDC00685,TAR0002,,,
RDC00686,TAR0002,,,
RDC00687,TAR0002,,,
RDC00689,TAR0002,,,
RDC00691,TAR0002,,,
RDC00692,TAR0002,,,
RDC00696,TAR0002,,,
RDC00698,TAR0002,,,
RDC00699,TAR0002,,,
RDC00700,TAR0002,,,
RDC00701,TAR0002,,,
RDC00702,TAR0002,,,
RDC00703,TAR0002,,,
RDC00704,TAR0002,,,
RDC00705,TAR0002,,,
RDC00706,TAR0002,,,
RDC00707,TAR0002,,,
RDC00708,TAR0002,,,
RDC00709,TAR0002,,,
RDC00710,TAR0002,,,
RDC00711,TAR0002,,,
RDC00712,TAR0002,,,
RDC00713,TAR0002,,,
RDC00715,TAR0002,,,
RDC00716,TAR0002,,,
RDC00717,TAR0002,,,
RDC00718,TAR0002,,,
RDC00719,TAR0002,,,
RDC00720,TAR0002,,,
RDC00721,TAR0002,,,
RDC00722,TAR0002,,,
RDC00723,TAR0002,,,
RDC00724,TAR0002,,,
RDC00725,TAR0002,,,
RDC00726,TAR0002,,,
RDC00727,TAR0002,,,
RDC00728,TAR0002,,,
RDC00729,TAR0002,,,
RDC00730,TAR0002,,,
RDC00731,TAR0002,,,
RDC00732,TAR0002,,,
RDC00733,TAR0002,,,
RDC00734,TAR0002,,,
RDC00735,TAR0003,,,
RDC00735,TAR0002,,,
RDC00736,TAR0002,,,
RDC00737,TAR0002,,,
RDC00738,TAR0002,,,
RDC00739,TAR0002,,,
RDC00740,TAR0002,,,
RDC00741,TAR0002,,,
RDC00743,TAR0002,,,
RDC00744,TAR0002,,,
RDC00745,TAR0002,,,
RDC00746,TAR0002,,,
RDC00751,TAR0003,,,
RDC00752,TAR0003,,,
RDC00754,TAR0003,,,
RDC00755,TAR0003,,,
RDC00756,TAR0003,,,
RDC00757,TAR0003,,,
RDC00758,TAR0003,,,
RDC00759,TAR0003,,,
RDC00760,TAR0003,,,
RDC00761,TAR0003,,,
RDC00762,TAR0003,,,
RDC00763,TAR0003,,,
RDC00764,TAR0003,,,
RDC00765,TAR0003,,,
RDC00766,TAR0003,,,
RDC00767,TAR0003,,,
RDC00768,TAR0003,,,
RDC00769,TAR0003,,,
RDC00770,TAR0003,,,
RDC00777,TAR0003,,,
RDC00778,TAR0003,,,
RDC00779,TAR0003,,,
RDC00780,TAR0003,,,
RDC00781,TAR0003,,,
RDC00782,TAR0003,,,
RDC00783,TAR0003,,,
RDC00784,TAR0003,,,
RDC00785,TAR0003,,,
RDC00786,TAR0003,,,
RDC00787,TAR0003,,,
RDC00788,TAR0003,,,
RDC00789,TAR0003,,,
RDC00790,TAR0003,,,
RDC00791,TAR0003,,,
RDC00792,TAR0003,,,
RDC00793,TAR0003,,,
RDC00794,TAR0003,,,
RDC00797,TAR0003,,,
RDC00798,TAR0003,,,
RDC00799,TAR0003,,,
RDC00800,TAR0003,,,
RDC00801,TAR0003,,,
RDC00802,TAR0003,,,
RDC00803,TAR0003,,,
RDC00804,TAR0003,,,
RDC00805,TAR0003,,,
RDC00806,TAR0003,,,
RDC00807,TAR0003,,,
RDC00808,TAR0003,,,
RDC00809,TAR0003,,,
RDC00810,TAR0003,,,
RDC00811,TAR0003,,,
RDC00812,TAR0003,,,
RDC00813,TAR0003,,,
RDC00814,TAR0003,,,
RDC00815,TAR0003,,,
RDC00816,TAR0003,,,
RDC00817,TAR0003,,,
RDC00818,TAR0003,,,
RDC00820,TAR0003,,,
RDC00821,TAR0003,,,
RDC00822,TAR0003,,,
RDC00823,TAR0003,,,
RDC00824,TAR0003,,,
RDC00825,TAR0003,,,
RDC00826,TAR0003,,,
RDC00827,TAR0003,,,
RDC00828,TAR0003,,,
RDC00829,TAR0003,,,
RDC00830,TAR0003,,,
RDC00831,TAR0003,,,
RDC00832,TAR0003,,,
RDC00833,TAR0003,,,
RDC00834,TAR0003,,,
RDC00836,TAR0003,,,
RDC00837,TAR0003,,,
RDC00838,TAR0003,,,
RDC00839,TAR0003,,,
